AAAAMMJJ,RR,TNTXM,TNTXM_moy_mois,GLOT_moy_mois
19900521,0,13.8,13.9967741935484,2259.1935483871
19900522,0,15.2,13.9967741935484,2259.1935483871
19900523,0,14.9,13.9967741935484,2259.1935483871
19900524,0,13.4,13.9967741935484,2259.1935483871
19900525,0,10.9,13.9967741935484,2259.1935483871
19900526,0,11,13.9967741935484,2259.1935483871
19900527,0,11.7,13.9967741935484,2259.1935483871
19900528,0,11.3,13.9967741935484,2259.1935483871
19900529,0,11.7,13.9967741935484,2259.1935483871
19900530,0,13.9,13.9967741935484,2259.1935483871
19900531,0,15.9,13.9967741935484,2259.1935483871
19900601,6.6,18,14.6666666666667,1631.5
19900602,3.8,13.9,14.6666666666667,1631.5
19900603,7.8,13.6,14.6666666666667,1631.5
19900604,0.2,12.4,14.6666666666667,1631.5
19900605,0,10.8,14.6666666666667,1631.5
19900606,2.2,14,14.6666666666667,1631.5
19900607,3.6,13.3,14.6666666666667,1631.5
19900608,9.6,12.8,14.6666666666667,1631.5
19900609,1.8,11.6,14.6666666666667,1631.5
19900610,0,10.3,14.6666666666667,1631.5
19900611,0,12.2,14.6666666666667,1631.5
19900612,0,12.5,14.6666666666667,1631.5
19900613,0.2,12.3,14.6666666666667,1631.5
19900614,0,13.1,14.6666666666667,1631.5
19900615,0,13,14.6666666666667,1631.5
19900616,0,12.8,14.6666666666667,1631.5
19900617,0.2,14.3,14.6666666666667,1631.5
19900618,0.2,17.3,14.6666666666667,1631.5
19900619,1.4,15.9,14.6666666666667,1631.5
19900620,2,16.6,14.6666666666667,1631.5
19900621,5.4,11.8,14.6666666666667,1631.5
19900622,3.2,13.1,14.6666666666667,1631.5
19900623,1.4,14.4,14.6666666666667,1631.5
19900624,0,15.2,14.6666666666667,1631.5
19900625,0,19.7,14.6666666666667,1631.5
19900626,2.8,21.2,14.6666666666667,1631.5
19900627,8.8,21.2,14.6666666666667,1631.5
19900628,0,15.2,14.6666666666667,1631.5
19900629,5.4,18,14.6666666666667,1631.5
19900630,0.6,19.5,14.6666666666667,1631.5
19900701,1.6,14.7,17.6806451612903,2185.87096774194
19900702,1.4,13,17.6806451612903,2185.87096774194
